decade,year,channel,video_id,title,start_seconds,end_seconds
1980s,1980,Commercials,YCOu1TZUVM0,Commercials (1980),0,0
1980s,1980,Commercials,YEH5-R7bwg9,Commercials (1980),0,0
1980s,1980,Sports,8_qCguXzd9Q,Sports (1980),0,0
1980s,1980,Commercials,ozk4KNQiBx9,Commercials (1980),0,0
1980s,1980,Gameshows,lo9HldR6VEl,Gameshows (1980),0,0
1980s,1980,Commercials,BDUTAhAI-iK,Commercials (1980),0,0
1980s,1980,Commercials,2H4nfoScsFd,Commercials (1980),0,0
1980s,1980,Music,EBeZJlgOtT_,Music (1980),0,0
1980s,1980,Trailers,YdyQlWUscCK,Trailers (1980),0,0
1980s,1980,Music,7jyl_RzrE6b,Music (1980),0,0
1980s,1980,Kids,6yMWfARKATz,Kids (1980),0,0
1980s,1980,Music,w-fHXqQqTmW,Music (1980),0,0
1980s,1980,Music,xi-DkPbK1J0,Music (1980),0,0
1980s,1980,Commercials,7iYotT5Ckxu,Commercials (1980),0,0
1980s,1980,Commercials,2V8gOi-2XSo,Commercials (1980),0,0
1980s,1980,Kids,uipojTeOPcY,Kids (1980),0,0
1980s,1980,Music,de1A7PtwgYr,Music (1980),0,0
1980s,1980,Commercials,ddXNwDUeYpT,Commercials (1980),0,0
1980s,1980,Trailers,0az1hYQjlVw,Trailers (1980),0,0
1980s,1980,Specials,YQKXgqERshv,Specials (1980),0,0
1980s,1980,Trailers,oxEOBcU0xzu,Trailers (1980),0,0
1980s,1980,Commercials,cLG8K0zxiPC,Commercials (1980),0,0
1980s,1980,Trailers,6fiaTIw_IzZ,Trailers (1980),0,0
1980s,1980,Commercials,AVLssUHAJL2,Commercials (1980),0,0
1980s,1980,Commercials,O0wFCXVxuz2,Commercials (1980),0,0
1980s,1980,Trailers,IozXGP03n9F,Trailers (1980),0,0
1980s,1980,Sports,Q2UnaGwnkfr,Sports (1980),0,0
1980s,1980,Sports,uELFBwC-45b,Sports (1980),0,0
1980s,1980,Commercials,fDm0zTEF2Jz,Commercials (1980),0,0
1980s,1980,Trailers,RYWoy18V1PS,Trailers (1980),0,0
