decade,year,channel,video_id,title,start_seconds,end_seconds
1990s,1995,Commercials,OatUMBSDQyo,75 minutes of late 90s nostalgia - 1990s Commercial Compilation #50,0,0
1990s,1995,Commercials,PKBwVEJnXKk,70 Minutes of Decade Defining 1990s TV Commercials 🔥📼  Retro Commercials VOL 513,0,0
1990s,1995,Commercials,oemoqEuJdFE,Over Four Hours of 1990s Commercials,0,0
1990s,1995,Commercials,cHB-SXuR_iY,Every 90s Commercial,0,0
1990s,1995,Commercials,4cf3NRj4sXg,Only 90s & 2000s Kids Will Remember These Ads,0,0
1990s,1995,Commercials,GLbzveWbrSE,Random 90’s Commercials,0,0
1990s,1995,Commercials,RUCVnK8DvVA,1997 Nickelodeon TV Commercials - 90s Commercial Compilation #33,0,0
1990s,1995,Commercials,-w12KiZtnII,90s Commercials Were INSANE #nostalgia #90skids #retro #90slife #retrorecall,0,0
1990s,1995,Commercials,xR3Pq8VY8R8,3+ hours of Halloween TV commercials from the ‘90s | 1990s holiday nostalgia ambience,0,0
1990s,1995,Commercials,7OqEDrMCOQI,Epic Huge 80s/Early 90s Commercial Mix,0,0
1990s,1995,Commercials,xxuihEYl65o,90s Commercials Marathon - Over 1 Hour of Vintage TV Ads 📺📼 V601,0,0
1990s,1995,Commercials,P-z3ZuR4lwo,*1990* CORN POPS commercial featuring Paul Walker• #90s #nostalgia,0,0
1990s,1995,Commercials,GhmuKaJI_c8,90s Ad Jingles You'll be Singing All Day #90snostalgia #oscarmayer,0,0
1990s,1995,Commercials,ymcBgDX8Sgs,Grey Poupon - 1994 #1990scommercials #1990s #1990snostalgia,0,0
1990s,1995,Commercials,y4yo6n7XHZ8,90s honey comb commercial #90s #90snostalgia #90sthrowback #90scommercials #nostalgia #nostalgic,0,0
1990s,1995,Commercials,7CXT_vISgFc,RAD 90s Toy Commercials!! (Vol. 1),0,0
1990s,1995,Commercials,RLbnAxes7E0,The best 90's Cereal Commercials (English TV Ads),0,0
1990s,1995,Commercials,CTY8hrvFck8,Surge Soda Commercial 1997,0,0
1990s,1995,Commercials,1shK-j_u6LI,"""The Showdown"" - Bird vs. Jordan McDonald's ad - 1993",0,0
1990s,1995,Music,XFkzRNyygfk,Radiohead - Creep,0,0
1990s,1995,Music,6NXnxTNIWkc,4 Non Blondes - What's Up (Official Music Video),0,0
1990s,1995,Music,TIy3n2b7V9k,Avril Lavigne - Sk8er Boi (Official Video),0,0
1990s,1995,Music,5NPBIwQyPWE,Avril Lavigne - Complicated (Official Video),0,0
1990s,1995,Music,6Whgn_iE5uc,Santana - Smooth (Official Video) ft. Rob Thomas,0,0
1990s,1995,Music,FRkev5Aooms,Missy Elliott - Hot Boyz [Official Music Video],0,0
1990s,1995,Music,djV11Xbc914,a-ha - Take On Me (Official Video) [4K],0,0
1990s,1995,Music,lAD6Obi7Cag,"Dire Straits - Money For Nothing music video (Good quality, all countries)",0,0
